"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";;
"North-East Atlantic";"Portuguese dogfish";"Centroscymnus coelolepis";"ICES";;"CYO";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7,27_8,27_9,27_10";;;;
"North-East Atlantic";"Longnose velvet dogfish";"Centroscymnus crepidater";"ICES";;"CYP";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";;;;
"North-East Atlantic";"Black dogfish";"Centroscyllium fabricii";"ICES";;"CFB";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";;;;
"North-East Atlantic";"Frilled shark";"Chlamydoselachus anguineus";"ICES";;"HXC";"No TAC";"5, 6, 7, 8, 9, 10";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10";;;;
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";;"HER";"06ACL.";"5a";"27_5_A";;"No FIDES match";;
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";;"HER";"5B6ANB";"5b, 6b";"27_5_B,27_6_B";;"FIDES match but difference with area";;
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";;"HER";"07A/MM";"7aN";"27_7_A";;"FIDES match but difference with area";;
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";;"HER";"6AS7BC";"6a, 7bc";"27_6_A,27_7_B,27_7_C";;"FIDES match but difference with area";;
"North-East Atlantic";"Herring";"Clupea harengus";"ICES";;"HER";"7G-K";"7aS, 7gh, 7jk";"27_7_A,27_7_G,27_7_H,27_7_J,27_7_K";;"FIDES match but difference with area";;
"North-East Atlantic";"Conger";"Conger conger";"ICES";;"COE";"No TAC";"All areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"NEAFC Stock - Deep Sea Fisheries";;;
